CA-2016-152156,2016-11-08,2016-11-11,SECOND CLASS,CG-12520,Claire Gute,CONSUMER,UNITED STATES,HENDERSON,KENTUCKY,42420,SOUTH,FUR-BO-10001798,FURNITURE,BOOKCASES,Bush Somerset Collection Bookcase,261.96,2,0.0000,41.91
CA-2016-152156,2016-11-08,2016-11-11,SECOND CLASS,CG-12520,Claire Gute,CONSUMER,UNITED STATES,HENDERSON,KENTUCKY,42420,SOUTH,FUR-CH-10000454,FURNITURE,CHAIRS,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rou",731.94,3,0.0000,219.58
CA-2016-138688,2016-06-12,2016-06-16,SECOND CLASS,DV-13045,Darrin Van Huff,CORPORATE,UNITED STATES,LOS ANGELES,CALIFORNIA,90036,WEST,OFF-LA-10000240,OFFICE SUPPLIES,LABELS,Self-Adhesive Address Labels for Typewriters by Un,14.62,2,0.0000,6.87
US-2015-108966,2015-10-11,2015-10-18,STANDARD CLASS,SO-20335,Sean O'Donnell,CONSUMER,UNITED STATES,FORT LAUDERDALE,FLORIDA,33311,SOUTH,FUR-TA-10000577,FURNITURE,TABLES,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.4500,-383.03
US-2015-108966,2015-10-11,2015-10-18,STANDARD CLASS,SO-20335,Sean O'Donnell,CONSUMER,UNITED STATES,FORT LAUDERDALE,FLORIDA,33311,SOUTH,OFF-ST-10000760,OFFICE SUPPLIES,STORAGE,Eldon Fold 'N Roll Cart System,22.37,2,0.2000,2.52
CA-2014-115812,2014-06-09,2014-06-14,STANDARD CLASS,BH-11710,Brosina Hoffman,CONSUMER,UNITED STATES,LOS ANGELES,CALIFORNIA,90032,WEST,FUR-FU-10001487,FURNITURE,FURNISHINGS,Eldon Expressions Wood and Plastic Desk Accessorie,48.86,7,0.0000,14.17
CA-2014-115812,2014-06-09,2014-06-14,STANDARD CLASS,BH-11710,Brosina Hoffman,CONSUMER,UNITED STATES,LOS ANGELES,CALIFORNIA,90032,WEST,OFF-AR-10002833,OFFICE SUPPLIES,ART,Newell 322,7.28,4,0.0000,1.97
CA-2014-115812,2014-06-09,2014-06-14,STANDARD CLASS,BH-11710,Brosina Hoffman,CONSUMER,UNITED STATES,LOS ANGELES,CALIFORNIA,90032,WEST,TEC-PH-10002275,TECHNOLOGY,PHONES,Mitel 5320 IP Phone VoIP phone,907.15,6,0.2000,90.72
CA-2014-115812,2014-06-09,2014-06-14,STANDARD CLASS,BH-11710,Brosina Hoffman,CONSUMER,UNITED STATES,LOS ANGELES,CALIFORNIA,90032,WEST,OFF-BI-10003910,OFFICE SUPPLIES,BINDERS,DXL Angle-View Binders with Locking Rings by Samsi,18.50,3,0.2000,5.78
CA-2014-115812,2014-06-09,2014-06-14,STANDARD CLASS,BH-11710,Brosina Hoffman,CONSUMER,UNITED STATES,LOS ANGELES,CALIFORNIA,90032,WEST,OFF-AP-10002892,OFFICE SUPPLIES,APPLIANCES,Belkin F5C206VTEL 6 Outlet Surge,114.90,5,0.0000,34.47
